country_in_data,country_in_awards
Switzerland,Switzerland
United States of America,United States
Singapore,Singapore
Sweden,Sweden
Denmark,Denmark
Finland,Finland
Germany,Germany
Japan,Japan
Canada,Canada
Netherlands,Netherlands
Hong Kong,Hong Kong
United Kingdom,United Kingdom
Norway,Norway
Australia,Australia
France,France
Austria,Austria
Belgium,Belgium
Korea,South Korea
New Zealand,New Zealand
Luxembourg,Luxembourg
Qatar,Qatar
United Arab Emirates,United Arab Emirates
Malaysia,Malaysia
Ireland,Ireland
Iceland,Iceland
Israel,Israel
Saudi Arabia,Saudi Arabia
China,China
Chile,Chile
Czech Republic,Czechia
Brunei Darussalam,Brunei
Spain,Spain
Cyprus,Cyprus
Estonia,Estonia
Thailand,Thailand
Slovenia,Slovenia
Bahrain,Bahrain
Kuwait,Kuwait
Tunisia,Tunisia
Oman,Oman
Puerto Rico,Puerto Rico
Portugal,Portugal
South Africa,South Africa
Poland,Poland
Slovakia,Slovakia
Italy,Italy
India,India
Jordan,Jordan
