Ranking,Categoria,PCI
1,Outdoor Gear and Camping Equipment Design Award Category.,2.2860637340420125
2,Manufacturing and Processing Machinery Design Award Category.,2.1416354493057694
3,Disposable and Single-Use Product Design Award Category.,1.671983760810936
4,Hardware, Power and Hand Tools Design Award Category.,1.4592748892518033
5,Security, Safety and Surveillance Products Design Award Category.,1.3684320215656978
6,Scientific Instruments and Research Equipment Design Award Category.,1.2646752168065674
7,Cybernetics, Prosthesis and Implant Design Award Category.,1.2533940763749596
8,Footwear, Shoes and Boots Design Award Category.,1.191496240059427
9,Digital and Broadcasting Media Design Award Category.,1.0715599049444378
10,Aerospace and Aircraft Design Award Category.,1.0207947730022024
11,Meta, Strategic and Service Design Award Category.,0.9174832764180039
12,Public Awareness, Volunteerism, and Society Design Award Category.,0.9145145552517914
13,Home Appliances Design Award Category.,0.895811611904652
14,Energy Products, Projects and Devices Design Award Category.,0.7396568785618692
15,Heating, Ventilation, and Air Conditioning Products Design Award Category.,0.7144227486490621
16,Education, Teaching Aid and Training Content Design Award Category.,0.6930479562523314
17,Audio and Sound Equipment Design Award Category.,0.6551967613831208
18,Agricultural Tools, Equipment and Machinery Design Award Category.,0.6430250046016491
19,Construction and Real Estate Projects Design Award Category.,0.6020566525079152
20,Beauty, Personal Care and Cosmetic Products Design Award Category.,0.5876583548517841
21,Digital and Electronic Devices Design Award Category.,0.5814240404027377
22,Medical Devices and Medical Equipment Design Award Category.,0.5689554115046447
23,3D Printed Forms and Products Design Award Category.,0.5591586316561431
24,Design Quality and Innovation Award Category.,0.5438697176501482
25,Wearable Technologies Design Award Category.,0.5324401411602298
26,Prosumer Products, Tools, and Machinery Design Award Category.,0.5303620363438809
27,Office Furniture Design Award Category.,0.4911749169498746
28,Baby, Kids' and Children's Products Design Award Category.,0.47069074090300766
29,Bakeware, Tableware, Drinkware and Cookware Design Award Category.,0.4543627744888384
30,Sports, Entertainment and Recreation Equipment Design Award Category.,0.4398160407743966
31,Awards, Prize and Competitions Design Award Category.,0.4055273113046411
32,Musical Instruments Design Award Category.,0.38504313525777417
33,Garden and Outdoor Furniture Design Award Category.,0.3798478732169021
34,Futuristic Design Award Category.,0.37613697175913635
35,Engineering and Technical Design Award Category.,0.35995744140327773
36,Furniture Accessories, Hardware and Materials Design Award Category.,0.31245790274387614
37,Safety Clothing and Personal Protective Equipment Design Award Category.,0.30414548347848086
38,Idea Design Award Category.,0.2691145737171722
39,Information Technologies Design Award Category.,0.22517750045722568
40,Robotics, Automaton and Automation Design Award Category.,0.1494751107188044
41,Yacht and Marine Vessels Design Award Category.,0.13626430152915833
42,Urban Planning and Urban Design Award Category.,0.12082695146485281
43,Vehicle, Mobility and Transportation Design Award Category.,0.08446011717874846
44,Fashion and Travel Accessories Design Award Category.,0.03369498523651301
45,Art Materials, Stationery Supplies and Gift Items Design Award Category.,0.018999815463760637
46,Interior Space and Exhibition Design Award Category.,-0.020484176046866937
47,Sustainable Products, Projects and Green Design Award Category.,-0.045569869901363406
48,Differently Abled and Seniors' Assistance Design Award Category.,-0.06590560988991971
49,Mobile Technologies, Applications and Software Design Award Category.,-0.1273581380305205
50,Textile, Fabric, Textures, Patterns and Cloth Design Award Category.,-0.1727795718735733
51,Street Furniture Design Award Category.,-0.18895910222943196
52,Interface and Interaction Design Award Category.,-0.19563872485341033
53,Cultural Heritage and Culture Industry Design Award Category.,-0.22399001199074065
54,Pet Supplies and Products for Animals Design Award Category.,-0.28989562188066037
55,Bathroom Furniture and Sanitary Ware Design Award Category.,-0.37569166358420447
56,Toy, Games and Hobby Products Design Award Category.,-0.38979308912371435
57,Fashion, Apparel and Garment Design Award Category.,-0.4147303469199002
58,Luxury Design Award Category.,-0.49785453957385295
59,Social Design Award Category.,-0.5710335163209935
60,Building Materials and Construction Components Design Award Category.,-0.5858771221520566
61,Website and Web Design Award Category.,-0.6461421618261723
62,Food, Beverage and Culinary Arts Design Award Category.,-0.7058134572670456
63,Movie, Video and Animation Design Award Category.,-0.728524174188572
64,Lighting Products and Lighting Projects Design Award Category.,-0.7368365934539672
65,Jewelry, Eyewear and Watch Design Award Category.,-0.7840392599967476
66,Arts, Crafts and Ready-Made Design Award Category.,-0.8750305637411637
67,Computer Graphics and 3D Model Design Award Category.,-0.882155494540074
68,Landscape Planning and Garden Design Award Category.,-0.8978897167210008
69,Print and Published Media Design Award Category.,-0.987693531998932
70,Performing Arts, Style and Scenery Design Award Category.,-1.0213885172354449
71,Limited Edition and Custom Design Award Category.,-1.02257600570193
72,Event and Happening Design Award Category.,-1.2358786214943052
73,Furniture Design Award Category.,-1.3809006504637906
74,Generative, Algorithmic and Parametric Design Award Category.,-1.3930724072452625
75,Packaging Design Award Category.,-1.5128603063019408
76,Hospitality, Recreation, Travel and Tourism Design Award Category.,-1.8115136556229283
77,Graphics, Illustration and Visual Communication Design Award Category.,-1.852927315891594
78,Advertising, Marketing and Communication Design Award Category.,-2.1944786860643535
79,Photography and Photo Manipulation Design Award Category.,-2.5551783077591845
80,Architecture, Building and Structure Design Award Category.,-3.442677500398441
